orderNumber,productName,quantityOrdered,priceEach,totalPrice,recommendedPrice,difference,percentReduction,customerName,salesEmployee,orderDate,buyPrice,productLine
10100,"1917 Grand Touring Sedan",30,136.00,4080.00,5100.00,1020.00,20.000000,"Online Diecast Creations Co.","Steve Patterson",2003-01-06,86.70,"Vintage Cars"
10100,"1911 Ford Town Car",50,55.09,2754.50,3027.00,272.50,9.002313,"Online Diecast Creations Co.","Steve Patterson",2003-01-06,33.30,"Vintage Cars"
10100,"1932 Alfa Romeo 8C2300 Spider Sport",22,75.46,1660.12,2024.66,364.54,18.004998,"Online Diecast Creations Co.","Steve Patterson",2003-01-06,43.26,"Vintage Cars"
10100,"1936 Mercedes Benz 500k Roadster",49,35.29,1729.21,2010.47,281.26,13.989764,"Online Diecast Creations Co.","Steve Patterson",2003-01-06,21.75,"Vintage Cars"
10101,"1932 Model A Ford J-Coupe",25,108.06,2701.50,3178.25,476.75,15.000393,"Blauer See Auto, Co.","Barry Jones",2003-01-09,58.48,"Vintage Cars"
10101,"1928 Mercedes-Benz SSK",26,167.06,4343.56,4387.50,43.94,1.001481,"Blauer See Auto, Co.","Barry Jones",2003-01-09,72.56,"Vintage Cars"
10101,"1939 Chevrolet Deluxe Coupe",45,32.53,1463.85,1493.55,29.70,1.988551,"Blauer See Auto, Co.","Barry Jones",2003-01-09,22.57,"Vintage Cars"
10101,"1938 Cadillac V-16 Presidential Limousine",46,44.35,2040.10,2060.80,20.70,1.004464,"Blauer See Auto, Co.","Barry Jones",2003-01-09,20.61,"Vintage Cars"
10102,"1937 Lincoln Berline",39,95.55,3726.45,4006.86,280.41,6.998248,"Vitachrome Inc.","Foon Yue Tseng",2003-01-10,60.62,"Vintage Cars"
10102,"1936 Mercedes-Benz 500K Special Roadster",41,43.13,1768.33,2210.31,441.98,19.996290,"Vitachrome Inc.","Foon Yue Tseng",2003-01-10,24.26,"Vintage Cars"
10103,"1952 Alpine Renault 1300",26,214.30,5571.80,5571.80,0.00,0.000000,"Baane Mini Imports","Barry Jones",2003-01-29,98.58,"Classic Cars"
10103,"1962 LanciaA Delta 16V",42,119.67,5026.14,6205.08,1178.94,18.999594,"Baane Mini Imports","Barry Jones",2003-01-29,103.42,"Classic Cars"
10103,"1958 Setra Bus",27,121.64,3284.28,3690.09,405.81,10.997293,"Baane Mini Imports","Barry Jones",2003-01-29,77.90,"Trucks and Buses"
10103,"1940 Ford Pickup Truck",35,94.50,3307.50,4083.45,775.95,19.002314,"Baane Mini Imports","Barry Jones",2003-01-29,58.33,"Trucks and Buses"
10103,"1926 Ford Fire Engine",22,58.34,1283.48,1336.94,53.46,3.998684,"Baane Mini Imports","Barry Jones",2003-01-29,24.92,"Trucks and Buses"
10103,"1913 Ford Model T Speedster",27,92.19,2489.13,2735.37,246.24,9.002073,"Baane Mini Imports","Barry Jones",2003-01-29,60.78,"Vintage Cars"
10103,"1934 Ford V8 Coupe",35,61.84,2164.40,2186.10,21.70,0.992635,"Baane Mini Imports","Barry Jones",2003-01-29,34.35,"Vintage Cars"
10103,"18th Century Vintage Horse Carriage",25,86.92,2173.00,2618.00,445.00,16.997708,"Baane Mini Imports","Barry Jones",2003-01-29,60.74,"Vintage Cars"
10103,"1917 Maxwell Touring Car",46,86.31,3970.26,4563.66,593.40,13.002721,"Baane Mini Imports","Barry Jones",2003-01-29,57.54,"Vintage Cars"
10103,"1940s Ford truck",36,98.07,3530.52,4358.88,828.36,19.003964,"Baane Mini Imports","Barry Jones",2003-01-29,84.76,"Trucks and Buses"
10103,"1939 Cadillac Limousine",41,40.75,1670.75,2062.71,391.96,19.002186,"Baane Mini Imports","Barry Jones",2003-01-29,23.14,"Vintage Cars"
10103,"1962 Volkswagen Microbus",36,107.34,3864.24,4600.44,736.20,16.002817,"Baane Mini Imports","Barry Jones",2003-01-29,61.34,"Trucks and Buses"
10103,"1936 Chrysler Airflow",25,88.62,2215.50,2434.75,219.25,9.005031,"Baane Mini Imports","Barry Jones",2003-01-29,57.46,"Vintage Cars"
10103,"1980’s GM Manhattan Express",31,92.46,2866.26,2985.61,119.35,3.997508,"Baane Mini Imports","Barry Jones",2003-01-29,53.93,"Trucks and Buses"
