productName,priceEach,buyPrice,MSRP,productLine,productScale,productVendor,quantityOrdered,customerName,customerCountry,customerCity,customerCreditLimit,employeeName,employeeCity,employeeCountry,employeeTerritory,orderDate
"18th century schooner",120.43,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",41,"Volvo Model Replicas, Co",Sweden,Luleå,53100.00,"Barry Jones",London,UK,EMEA,2004-11-09
"18th century schooner",119.20,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",29,"Classic Legends Inc.",USA,NYC,67500.00,"Foon Yue Tseng",NYC,USA,NA,2004-11-21
"18th century schooner",98.31,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",34,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2004-12-02
"18th century schooner",100.77,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",31,"Kelly's Gift Shop","New Zealand","Auckland  ",110000.00,"Peter Marsh",Sydney,Australia,APAC,2004-12-16
"18th century schooner",102.00,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",37,"Tokyo Collectables, Ltd",Japan,Minato-ku,94400.00,"Mami Nishi",Tokyo,Japan,Japan,2005-01-26
"18th century schooner",114.29,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",28,"Corporate Gift Ideas Co.",USA,"San Francisco",105000.00,"Leslie Jennings","San Francisco",USA,NA,2005-02-23
"18th century schooner",100.77,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",49,"Mini Gifts Distributors Ltd.",USA,"San Rafael",210500.00,"Leslie Jennings","San Francisco",USA,NA,2005-03-23
"18th century schooner",108.14,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",43,Gifts4AllAges.com,USA,Boston,41900.00,"Steve Patterson",Boston,USA,NA,2005-05-06
"18th century schooner",117.97,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",43,"Danish Wholesale Imports",Denmark,Kobenhavn,83400.00,"Pamela Castillo",Paris,France,EMEA,2003-02-11
"18th century schooner",119.20,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",41,"Dragon Souveniers, Ltd.",Singapore,Singapore,103800.00,"Mami Nishi",Tokyo,Japan,Japan,2003-04-16
"18th century schooner",113.06,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",45,"Stylish Desk Decors, Co.",UK,London,77000.00,"Larry Bott",London,UK,EMEA,2003-06-12
"18th century schooner",114.29,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",33,"Mini Gifts Distributors Ltd.",USA,"San Rafael",210500.00,"Leslie Jennings","San Francisco",USA,NA,2003-08-08
"18th century schooner",111.83,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",40,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2003-09-28
"18th century schooner",110.60,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",33,"Scandinavian Gift Ideas",Sweden,Bräcke,116400.00,"Barry Jones",London,UK,EMEA,2003-10-23
"18th century schooner",115.52,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",50,"CAF Imports",Spain,Madrid,59600.00,"Martin Gerard",Paris,France,EMEA,2003-11-07
"18th century schooner",105.69,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",30,"Mini Creations Ltd.",USA,"New Bedford",94500.00,"Julie Firrelli",Boston,USA,NA,2003-11-14
"18th century schooner",109.37,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",41,"Enaco Distributors",Spain,Barcelona,60300.00,"Martin Gerard",Paris,France,EMEA,2003-11-26
"18th century schooner",122.89,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",35,"Saveley & Henriot, Co.",France,Lyon,123900.00,"Loui Bondur",Paris,France,EMEA,2004-01-02
"18th century schooner",113.06,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",49,"Petit Auto",Belgium,Bruxelles,79900.00,"Pamela Castillo",Paris,France,EMEA,2004-02-18
"18th century schooner",113.06,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",46,giftsbymail.co.uk,UK,Cowes,93900.00,"Larry Bott",London,UK,EMEA,2004-03-20
"18th century schooner",122.89,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",48,"Land of Toys Inc.",USA,NYC,114900.00,"George Vanauf",NYC,USA,NA,2004-05-07
"18th century schooner",105.69,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",36,"Québec Home Shopping Network",Canada,Montréal,48700.00,"Foon Yue Tseng",NYC,USA,NA,2004-06-17
"18th century schooner",103.23,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",22,"Petit Auto",Belgium,Bruxelles,79900.00,"Pamela Castillo",Paris,France,EMEA,2004-07-21
"18th century schooner",99.54,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",42,"Royal Canadian Collectables, Ltd.",Canada,Tsawassen,89600.00,"George Vanauf",NYC,USA,NA,2004-08-20
"18th century schooner",111.83,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",21,"Amica Models & Co.",Italy,Torino,113000.00,"Pamela Castillo",Paris,France,EMEA,2004-09-09
"18th century schooner",109.37,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",29,"AV Stores, Co.",UK,Manchester,136800.00,"Larry Bott",London,UK,EMEA,2004-10-14
"18th century schooner",111.83,82.34,122.89,Ships,1:24,"Carousel DieCast Legends",35,"La Rochelle Gifts",France,Nantes,118200.00,"Gerard Hernandez",Paris,France,EMEA,2004-10-29
"18th Century Vintage Horse Carriage",89.01,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",49,"West Coast Collectables Co.",USA,Burbank,55400.00,"Leslie Thompson","San Francisco",USA,NA,2004-01-29
"18th Century Vintage Horse Carriage",100.53,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",31,"Cambridge Collectables Co.",USA,Cambridge,43400.00,"Julie Firrelli",Boston,USA,NA,2004-03-10
"18th Century Vintage Horse Carriage",85.87,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",29,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2004-04-29
"18th Century Vintage Horse Carriage",83.78,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",37,"The Sharp Gifts Warehouse",USA,"San Jose",77600.00,"Leslie Jennings","San Francisco",USA,NA,2004-06-14
"18th Century Vintage Horse Carriage",85.87,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",38,"Souveniers And Things Co.",Australia,Chatswood,93300.00,"Andy Fixter",Sydney,Australia,APAC,2004-07-19
"18th Century Vintage Horse Carriage",102.63,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",29,"Amica Models & Co.",Italy,Torino,113000.00,"Pamela Castillo",Paris,France,EMEA,2004-08-17
"18th Century Vintage Horse Carriage",93.20,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",23,"Scandinavian Gift Ideas",Sweden,Bräcke,116400.00,"Barry Jones",London,UK,EMEA,2004-09-08
"18th Century Vintage Horse Carriage",90.06,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",26,"Auto Associés & Cie.",France,Versailles,77900.00,"Gerard Hernandez",Paris,France,EMEA,2004-10-11
"18th Century Vintage Horse Carriage",93.20,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",38,"Mini Gifts Distributors Ltd.",USA,"San Rafael",210500.00,"Leslie Jennings","San Francisco",USA,NA,2004-10-21
"18th Century Vintage Horse Carriage",90.06,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",48,"Online Diecast Creations Co.",USA,Nashua,114200.00,"Steve Patterson",Boston,USA,NA,2004-11-04
"18th Century Vintage Horse Carriage",100.53,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",40,"AV Stores, Co.",UK,Manchester,136800.00,"Larry Bott",London,UK,EMEA,2004-11-17
"18th Century Vintage Horse Carriage",95.30,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",45,"Australian Collectors, Co.",Australia,Melbourne,117300.00,"Andy Fixter",Sydney,Australia,APAC,2004-11-29
"18th Century Vintage Horse Carriage",104.72,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",44,"Mini Gifts Distributors Ltd.",USA,"San Rafael",210500.00,"Leslie Jennings","San Francisco",USA,NA,2004-12-10
"18th Century Vintage Horse Carriage",90.06,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",21,"Collectables For Less Inc.",USA,Brickhaven,70700.00,"Julie Firrelli",Boston,USA,NA,2005-01-20
